 Mortalidade - Brasil
Óbitos p/Residênc por Município e Faixa Etária
Categoria CID-10: V01   Pedestre traum colis veic a pedal, V02   Pedestre traum colis veic motor 2 3 rodas, V03   Pedestre traum colis automov pickup caminhon, V04   Pedestre traum colis veic transp pesado onib, V05   Pedestre traum colis trem veic ferroviario, V06   Pedestre traum colis outr veic nao-motoriz, V09   Pedestre traum outr acid transp e NE, V10   Ciclista traum colis pedestre animal, V11   Ciclista traum colis outr veic a pedal, V12   Ciclista traum colis veic motor 2 3 rodas, V13   Ciclista traum colis automov pickup caminhon, V14   Ciclis traum colis veic transp pesado onibus, V15   Ciclista traum colis trem veic ferroviario, V16   Ciclista traum colis outr veic nao-motoriz, V17   Ciclista traum colis objeto fixo ou parado, V18   Ciclista traum acid transp s/colis, V19   Ciclista traum acid transp e NE, V20   Motociclista traum colis pedestre animal, V21   Motociclista traum colis veic pedal, V22   Motocicl traum colis veic motor 2 3 rodas, V23   Motocicl traum colis automov pickup caminhon, V24   Motocicl traum colis veic transp pesado onib, V25   Motociclista traum colis trem veic ferrov, V26   Motocicl traum colis outr veic nao-motoriz, V27   Motocicl traum colis objeto fixo parado, V28   Motociclista traum acid transp s/colis, V29   Motociclista traum outr acid transp e NE, V30   Ocup tricicl mot traum colis pedestre animal, V31   Ocup tricicl motoriz traum colis veic pedal, V32   Ocup tric mot traum col out veic mot 2 3 rod, V33   Ocup tric mot traum col auto pickup caminhon, V34   Ocup tric mot traum col veic transp pes onib, V35   Ocup tricic mot traum colis trem veic ferrov, V36   Ocup tric mot traum colis outr veic n-motor, V37   Ocup tricic mot traum colis obj fixo parado, V38   Ocup tricic motor traum acid transp s/colis, V39   Ocup tricicl mot traum outr acid transp e NE, V40   Ocup automovel traum colis pedestre animal, V41   Ocup automovel traum colis veic a pedal, V42   Ocup autotraum colis outr veic mot 2 3 rodas, V43   Ocup automov traum col auto pickup caminhon, V44   Ocup autom traum colis veic trans pesad onib, V45   Ocup automovel traum colis trem veic ferrov, V46   Ocup automov traum colis outr veic n-motor, V47   Ocup automovel traum colis obj fixo parado, V48   Ocup automovel traum acid transp s/colis, V49   Ocup automovel traum outr acid transp e NE, V50   Ocup caminhonete traum colis pedestre animal, V51   Ocup caminhonete traum colis veic pedal, V52   Ocup caminhon traum colis veic mot 2 3 rodas, V53   Ocup caminhon traum colis automov caminhon, V54   Ocup caminhon traum col veic transp pes onib, V55   Ocup caminhon traum colis trem veic ferrov, V56   Ocup caminhonete traum colis outr veic n-mot, V57   Ocup caminhonete traum colis obj fixo parado, V58   Ocup caminhonete traum acid transp s/colis, V59   Ocup caminhonete traum outr acid transp NE, V60   Ocup veic transp pesado traum colis ped anim, V61   Ocup veic transp pesado traum col veic pedal, V62   Ocup v transp pes traum col veic mot 2 3 rod, V63   Ocup veic tr pesado traum col auto caminhon, V64   Ocup v tr pes tr col outr veic tr pes onib, V65   Ocup veic tr pes traum col trem veic ferrov, V66   Ocup veic tr pesado traum col out veic n-mot, V67   Ocup veic tr pesado traum col obj fixo parad, V68   Ocup veic tr pesado traum ac transp s/colis, V69   Ocup veic tr pesado traum outr ac transp NE, V70   Ocup onibus traum colis pedestre animal, V71   Ocup onibus traum colis veic a pedal, V72   Ocup onibus traum col out veic mot 2 3 rodas, V73   Ocup onibus traum colis automovel caminhonet, V74   Ocup onibus traum colis veic transp pes onib, V75   Ocup onibus traum colis trem veic ferrov, V76   Ocup onibus traum colis outr veic n-motor, V77   Ocup onibus traum colis objeto fixo parado, V78   Ocup onibus traum acid transp s/colis, V79   Ocup onibus traum outr acid transp e NE, V80   Pess mont anim oc veic anim traum ac transp, V81   Ocup trem veic ferroviario traum acid transp, V82   Ocup de um bonde traum acid transp, V83   Ocup veic esp mot area ind traum ac transp, V84   Ocup veic esp mot uso agric traum acid trans, V85   Ocup veic mot esp constr traum acid transp, V86   Ocup veic outr uso n-via pub traum ac transp, V87   Acid trans tipo espec desconh mod transp vit, V88   Ac n-trans tipo espec desconh mod transp vit, V89   Acid veic mot n-mot tipos de veic NE, V90   Acid embarcacao caus afogamento submersao, V91   Acid embarcacao causando outr tipo de traum, V92   Afog submers rel transp agua s/acid embarc, V93   Acid bord emb s/ac bem n caus afog submers, V94   Outr acid transp p/agua e os NE, V95   Acid de aeronave mot causando traum ao ocup, V96   Acid aeronave s/motor causando traum a ocup, V97   Outr acid espec de transporte aereo, V98   Outr acid transp espec, V99   Acid transp NE
Período:2019
"Município";"Menor 1 ano";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 29 anos";"30 a 39 anos";"40 a 49 anos";"50 a 59 anos";"60 a 69 anos";"70 a 79 anos";"80 anos e mais";"Idade ignorada";"Total"
"312250 Dom Cavati";-;-;-;-;-;-;1;-;-;1;-;-;1;3
"312260 Dom Joaquim";-;-;-;-;-;-;1;-;-;-;-;1;-;2
"312270 Dom Silvério";-;-;-;-;-;-;-;-;-;-;1;-;-;1
"312320 Dores do Indaiá";-;-;-;1;-;-;-;-;-;-;-;-;-;1
"312330 Dores do Turvo";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"312350 Douradoquara";-;-;-;-;-;-;-;-;-;1;-;-;-;1
"312352 Durandé";-;-;-;-;1;1;-;-;-;2;-;-;-;4
"312360 Elói Mendes";-;-;-;1;-;2;-;-;1;1;1;-;-;6
"312370 Engenheiro Caldas";-;-;-;-;2;1;1;-;-;-;2;-;-;6
"312385 Entre Folhas";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"312390 Entre Rios de Minas";-;-;-;-;-;-;2;-;-;-;-;-;-;2
"312400 Ervália";-;-;-;-;-;-;-;-;1;-;-;-;-;1
"312410 Esmeraldas";-;-;-;-;1;2;1;1;5;-;3;-;-;13
"312420 Espera Feliz";-;-;-;-;-;2;-;1;-;-;-;-;-;3
"312430 Espinosa";-;-;-;-;-;2;-;1;1;-;1;-;-;5
"312440 Espírito Santo do Dourado";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"312450 Estiva";-;-;-;-;-;-;-;2;1;-;-;-;-;3
"312480 Estrela do Sul";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"312490 Eugenópolis";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"312510 Extrema";-;-;-;-;-;1;1;1;1;1;-;-;-;5
"312520 Fama";-;-;-;-;-;-;-;-;-;1;-;-;-;1
"312530 Faria Lemos";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"312540 Felício dos Santos";-;-;-;-;-;1;1;-;-;-;-;-;-;2
"312560 Felisburgo";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"312570 Felixlândia";-;-;-;-;-;-;-;1;-;1;-;1;-;3
"312580 Fernandes Tourinho";-;-;-;-;-;-;-;-;1;-;-;-;-;1
"312595 Fervedouro";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"312610 Formiga";-;-;-;-;-;3;3;5;4;-;1;2;-;18
"312620 Formoso";-;-;-;-;-;1;-;-;-;1;-;-;-;2
"312630 Fortaleza de Minas";-;-;-;-;-;-;-;-;1;-;-;-;-;1
"312660 Francisco Dumont";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"312670 Francisco Sá";-;-;-;-;-;1;2;-;2;-;-;-;-;5
"312680 Frei Gaspar";-;-;-;-;-;-;-;-;-;1;-;-;-;1
"312690 Frei Inocêncio";-;-;-;-;-;1;-;1;1;-;-;-;-;3
"312695 Frei Lagonegro";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"312700 Fronteira";-;-;-;-;1;-;-;2;1;-;-;-;-;4
"312707 Fruta de Leite";-;-;-;-;-;-;2;-;-;1;-;-;-;3
"312710 Frutal";-;-;-;-;1;1;3;4;-;2;-;1;-;12
"312720 Funilândia";-;-;-;-;-;-;1;1;-;-;-;-;-;2
"312730 Galiléia";-;-;-;-;-;-;1;-;1;-;-;-;-;2
"312740 Gonçalves";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"312750 Gonzaga";-;-;-;-;-;-;-;-;1;-;-;-;-;1
"312760 Gouveia";-;-;-;-;-;-;1;1;-;-;-;-;-;2
"312770 Governador Valadares";-;2;-;-;3;13;6;14;4;5;1;1;-;49
"312780 Grão Mogol";-;-;-;-;1;-;2;-;-;1;-;-;-;4
"312800 Guanhães";-;-;-;-;-;3;-;1;1;-;-;-;-;5
"312810 Guapé";-;-;1;-;-;-;-;3;-;1;-;-;-;5
"312820 Guaraciaba";-;-;-;1;-;2;-;-;-;-;-;-;-;3
"312830 Guaranésia";-;-;-;-;-;-;-;-;1;-;-;-;-;1
"312840 Guarani";-;-;-;-;-;3;-;1;1;-;-;-;-;5
"312850 Guarará";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"312860 Guarda-Mor";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"312870 Guaxupé";-;-;-;-;1;-;1;1;2;1;-;1;-;7
"312880 Guidoval";-;-;-;-;-;2;-;1;-;-;-;-;-;3
"312890 Guimarânia";-;-;-;-;-;-;-;1;1;-;-;-;-;2
"312900 Guiricema";-;-;-;-;-;2;1;-;-;-;2;-;-;5
"312910 Gurinhatã";-;-;-;-;-;-;1;-;-;-;1;-;-;2
"312920 Heliodora";-;-;-;-;-;-;-;-;-;-;-;1;-;1
"312950 Ibiá";-;-;-;-;-;-;-;-;-;1;-;1;-;2
"312960 Ibiaí";-;-;2;-;-;2;2;-;-;-;-;-;-;6
"312965 Ibiracatu";-;-;-;-;-;-;-;-;1;-;-;-;-;1
"312970 Ibiraci";-;-;-;1;-;1;2;-;-;-;-;-;-;4
"312980 Ibirité";-;-;-;-;-;3;1;6;3;-;1;1;-;15
"313000 Ibituruna";-;-;-;-;-;-;-;-;1;-;-;-;-;1
"313005 Icaraí de Minas";-;-;-;-;-;-;-;-;-;1;-;-;-;1
"313010 Igarapé";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"313020 Igaratinga";-;-;-;-;1;2;-;-;1;-;-;-;-;4
"313040 Ijaci";-;-;-;-;-;-;-;2;-;-;-;-;-;2
"313050 Ilicínea";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"313055 Imbé de Minas";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"313060 Inconfidentes";-;-;-;1;-;-;1;-;1;1;-;-;-;4
"313070 Indianópolis";-;-;-;-;-;2;-;1;-;-;-;-;-;3
"313090 Inhapim";-;-;-;-;-;1;-;-;-;1;1;-;-;3
"313100 Inhaúma";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"313110 Inimutaba";-;-;-;-;-;-;1;1;-;-;-;-;-;2
"313115 Ipaba";-;-;-;-;-;1;2;1;-;1;1;-;-;6
"313120 Ipanema";-;-;-;-;-;1;-;-;1;-;-;-;-;2
"313130 Ipatinga";-;1;-;1;2;8;7;4;3;5;5;-;-;36
"313150 Ipuiúna";-;-;-;-;-;-;-;-;1;-;2;-;-;3
"313160 Iraí de Minas";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"313170 Itabira";-;1;-;-;1;3;2;2;2;1;1;1;-;14
"313180 Itabirinha";-;-;-;-;-;1;1;-;1;-;-;-;-;3
"313190 Itabirito";-;-;-;-;1;-;2;1;1;1;-;-;-;6
"313210 Itacarambi";-;-;-;-;-;1;-;-;1;-;-;-;-;2
"313220 Itaguara";-;-;-;-;-;-;-;-;-;1;1;-;-;2
"313240 Itajubá";-;-;-;-;2;2;5;4;1;1;-;-;-;15
"313250 Itamarandiba";-;-;-;-;-;2;1;1;-;-;-;-;-;4
"313270 Itambacuri";-;-;-;-;1;-;-;1;2;-;-;-;-;4
"313290 Itamogi";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"313300 Itamonte";-;-;-;-;-;1;-;-;-;1;-;-;-;2
"313310 Itanhandu";-;-;-;-;-;3;1;-;2;-;-;-;-;6
"313320 Itanhomi";-;-;-;-;-;-;-;-;1;-;-;-;-;1
"313330 Itaobim";-;-;-;-;-;3;2;2;1;1;-;-;-;9
"313340 Itapagipe";-;-;-;-;1;-;-;-;-;-;-;-;-;1
"313350 Itapecerica";-;-;-;-;-;-;-;-;-;1;-;-;-;1
"313360 Itapeva";-;-;-;-;-;-;-;-;1;-;-;-;-;1
"313370 Itatiaiuçu";-;-;-;-;1;-;1;-;-;-;1;-;-;3
"313375 Itaú de Minas";-;-;-;-;1;-;-;1;-;-;-;-;-;2
"313380 Itaúna";-;-;-;1;2;2;3;2;-;1;-;-;-;11
"313390 Itaverava";-;-;-;-;1;-;-;-;-;-;-;-;-;1
"313400 Itinga";-;-;-;-;-;-;-;-;1;-;1;-;-;2
"313410 Itueta";-;-;-;-;-;-;-;-;1;-;-;-;-;1
"313420 Ituiutaba";-;-;-;-;2;2;5;1;-;3;2;2;-;17
"313430 Itumirim";-;-;-;-;1;-;-;-;1;-;-;-;-;2
"313440 Iturama";-;-;-;-;2;1;2;6;2;-;1;-;-;14
"313460 Jaboticatubas";-;-;-;-;1;-;-;1;-;-;-;-;-;2
"313470 Jacinto";-;-;-;-;-;1;-;1;2;-;-;-;-;4
"313480 Jacuí";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"313490 Jacutinga";-;-;-;-;-;1;-;1;1;-;-;-;-;3
"313500 Jaguaraçu";-;-;-;-;-;-;-;1;1;-;-;-;-;2
"313505 Jaíba";-;1;-;-;-;1;1;2;-;-;-;-;-;5
"313507 Jampruca";-;-;-;-;-;-;1;-;1;-;-;-;-;2
"313510 Janaúba";-;-;1;1;1;2;5;3;4;1;-;-;-;18
"313520 Januária";-;-;-;-;-;6;3;2;2;1;1;-;-;15
"313530 Japaraíba";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"313535 Japonvar";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"313540 Jeceaba";-;-;-;-;-;1;-;-;1;-;-;-;-;2
"313545 Jenipapo de Minas";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"313550 Jequeri";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"313560 Jequitaí";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"313570 Jequitibá";-;-;-;-;-;-;-;-;1;-;-;-;-;1
"313580 Jequitinhonha";-;-;-;-;-;-;1;1;-;-;1;-;-;3
"313590 Jesuânia";-;-;-;-;-;-;-;2;-;-;-;-;-;2
"313600 Joaíma";-;-;-;-;-;2;1;1;-;-;-;-;-;4
"313610 Joanésia";-;-;-;-;1;1;-;-;-;-;-;-;-;2
"313620 João Monlevade";-;-;1;-;-;2;3;1;-;2;1;-;-;10
"313630 João Pinheiro";-;-;-;-;1;1;6;-;3;3;-;-;-;14
"313640 Joaquim Felício";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"313650 Jordânia";-;-;-;-;-;2;2;-;-;2;-;-;-;6
"313665 Juatuba";-;-;-;-;-;2;-;1;-;-;-;-;-;3
"313670 Juiz de Fora";-;1;1;1;1;12;11;7;9;7;7;4;-;61
"313680 Juramento";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"313690 Juruaia";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"313695 Juvenília";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"313700 Ladainha";-;-;-;-;-;-;1;1;-;-;2;1;-;5
"313710 Lagamar";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"313720 Lagoa da Prata";-;-;-;1;1;1;3;1;1;-;-;-;-;8
"313740 Lagoa Dourada";-;-;-;-;1;-;-;-;-;-;-;-;-;1
"313750 Lagoa Formosa";-;-;-;-;1;-;1;1;1;-;-;1;-;5
"313753 Lagoa Grande";-;-;-;-;-;-;1;1;2;-;-;-;-;4
"313760 Lagoa Santa";-;-;-;-;-;-;-;-;1;-;-;-;-;1
"313770 Lajinha";-;-;-;-;-;-;-;-;1;1;-;-;-;2
"313780 Lambari";-;-;-;-;5;1;-;-;2;3;-;-;-;11
"313820 Lavras";1;-;-;-;-;5;5;-;5;2;1;2;-;21
"313840 Leopoldina";-;-;-;-;-;3;3;2;-;1;2;-;-;11
"313850 Liberdade";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"313860 Lima Duarte";-;-;-;-;-;-;-;-;1;-;-;-;-;1
"313862 Limeira do Oeste";-;-;-;-;-;3;-;-;-;1;-;-;-;4
"313880 Luz";-;-;-;-;-;-;1;2;-;-;1;-;-;4
"313890 Machacalis";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"313900 Machado";-;-;-;-;-;2;1;1;1;2;1;-;-;8
"313920 Malacacheta";-;-;-;-;-;-;-;-;1;2;1;-;-;4
"313925 Mamonas";-;-;-;-;-;2;-;-;-;-;-;-;-;2
"313930 Manga";-;-;-;-;-;-;-;-;-;2;-;1;-;3
"313940 Manhuaçu";-;-;-;-;1;6;2;-;4;3;1;1;-;18
"313950 Manhumirim";-;-;-;-;-;-;-;-;-;-;-;1;-;1
"313960 Mantena";-;-;-;-;-;1;-;1;-;1;-;-;-;3
"313970 Maravilhas";-;-;-;-;-;-;-;1;-;1;-;-;-;2
"313990 Maria da Fé";-;-;-;-;-;-;-;2;-;-;-;-;-;2
"314000 Mariana";-;-;-;-;2;3;-;1;-;1;-;-;-;7
"314010 Marilac";-;-;-;-;-;1;-;1;1;-;-;-;-;3
"314015 Mário Campos";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"314020 Maripá de Minas";-;-;-;-;-;-;-;-;-;-;-;1;-;1
"314030 Marliéria";-;-;-;-;-;-;-;1;1;-;-;-;-;2
"314040 Marmelópolis";-;-;-;-;-;-;-;-;-;-;1;-;-;1
"314050 Martinho Campos";-;-;-;-;-;1;2;-;-;-;1;-;-;4
"314053 Martins Soares";-;-;-;-;-;1;-;1;1;-;1;-;-;4
"314060 Materlândia";-;-;-;-;1;-;-;1;-;-;-;-;-;2
"314070 Mateus Leme";-;-;-;-;2;-;-;-;1;1;1;-;-;5
"317150 Mathias Lobato";-;-;-;-;-;-;-;-;1;-;-;1;-;2
"314085 Matias Cardoso";-;-;-;-;1;-;-;-;1;-;1;-;-;3
"314090 Matipó";-;-;-;-;-;2;1;-;-;-;-;-;-;3
"314100 Mato Verde";-;-;-;-;-;-;-;-;1;-;-;-;-;1
"314110 Matozinhos";-;1;-;-;-;2;2;1;1;-;-;-;-;7
"314130 Medeiros";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"314140 Medina";-;-;-;-;-;1;1;1;1;1;-;-;-;5
"314160 Mercês";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"314180 Minas Novas";-;-;-;-;-;-;-;2;-;-;1;1;-;4
"314190 Minduri";-;-;-;-;-;-;-;-;1;-;-;-;-;1
"314200 Mirabela";-;-;1;-;-;-;1;-;1;-;-;-;-;3
"314210 Miradouro";-;-;-;-;-;-;1;1;-;-;-;-;-;2
"314220 Miraí";-;-;-;-;-;-;2;-;-;-;-;-;-;2
"314225 Miravânia";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"314240 Moema";-;-;-;-;-;-;-;-;-;-;-;1;-;1
"314260 Monsenhor Paulo";-;-;-;-;-;-;-;-;-;1;-;-;-;1
"314270 Montalvânia";-;-;-;-;-;3;1;-;-;-;-;-;-;4
"314280 Monte Alegre de Minas";-;-;-;-;-;3;-;-;-;1;-;-;-;4
"314290 Monte Azul";-;-;-;-;-;1;2;-;-;-;-;-;-;3
"314300 Monte Belo";-;-;-;-;-;1;-;-;-;-;1;-;-;2
"314310 Monte Carmelo";-;-;-;1;-;2;3;2;1;1;1;-;-;11
"314315 Monte Formoso";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"314320 Monte Santo de Minas";-;-;-;-;-;2;-;-;-;1;-;-;-;3
"314340 Monte Sião";-;-;-;-;-;1;3;-;-;1;-;-;-;5
"314330 Montes Claros";-;-;2;-;4;13;12;9;7;5;6;1;-;59
"314345 Montezuma";-;-;-;-;1;-;1;2;1;-;-;-;-;5
"314370 Morro do Pilar";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"314380 Munhoz";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"314390 Muriaé";-;-;-;-;1;-;2;4;2;4;2;2;-;17
"314400 Mutum";-;-;-;-;1;-;2;3;-;-;-;-;-;6
"314410 Muzambinho";-;-;-;-;-;-;-;-;1;-;-;-;-;1
"314430 Nanuque";-;-;-;-;-;1;1;1;2;1;1;-;-;7
"314435 Naque";-;-;-;-;-;-;-;-;-;-;1;-;-;1
"314437 Natalândia";-;1;-;-;-;-;1;2;-;-;-;-;-;4
"314440 Natércia";-;-;-;-;-;-;-;-;1;-;-;-;-;1
"314460 Nepomuceno";-;-;-;-;-;3;3;1;-;-;2;-;-;9
"314465 Ninheira";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"314470 Nova Era";-;-;-;-;-;2;-;-;-;2;-;-;-;4
"314480 Nova Lima";-;-;-;-;-;2;4;2;1;-;1;-;-;10
"314500 Nova Ponte";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"314505 Nova Porteirinha";-;1;-;-;-;1;-;-;-;-;-;-;-;2
"314510 Nova Resende";-;-;-;1;-;2;1;-;2;1;-;-;-;7
"314520 Nova Serrana";1;-;-;1;5;4;4;2;5;-;-;-;-;22
"313660 Nova União";-;-;-;-;-;-;-;1;-;1;-;-;-;2
"314530 Novo Cruzeiro";-;-;-;-;1;-;2;-;1;-;1;-;-;5
"314540 Olaria";-;-;-;-;-;-;-;-;-;-;1;-;-;1
"314545 Olhos-d'Água";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"314550 Olímpio Noronha";-;-;-;-;-;-;-;-;-;1;-;-;-;1
"314560 Oliveira";-;-;-;-;-;-;1;1;-;1;2;-;-;5
"314570 Oliveira Fortes";-;-;-;-;-;1;-;-;-;1;-;-;-;2
"314580 Onça de Pitangui";-;-;-;-;-;1;-;-;1;1;-;-;-;3
"314587 Orizânia";-;-;-;-;-;-;-;2;-;-;-;-;-;2
"314590 Ouro Branco";-;1;-;1;-;1;-;1;1;-;-;1;-;6
"314600 Ouro Fino";-;-;1;1;-;-;-;2;-;-;-;-;-;4
"314610 Ouro Preto";-;-;-;-;-;4;3;-;1;1;-;-;-;9
"314620 Ouro Verde de Minas";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"314625 Padre Carvalho";-;-;-;-;-;2;1;-;1;-;-;-;-;4
"314630 Padre Paraíso";-;-;-;-;-;1;3;-;2;-;2;-;-;8
"314640 Paineiras";-;-;-;-;-;-;1;1;1;1;-;-;-;4
"314660 Paiva";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"314670 Palma";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"314675 Palmópolis";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"314690 Papagaios";-;-;-;-;1;1;-;-;-;2;-;-;-;4
"314710 Pará de Minas";-;-;-;-;2;4;4;6;4;2;-;1;-;23
"314700 Paracatu";-;-;1;-;1;3;5;3;1;3;1;-;-;18
"314720 Paraguaçu";-;-;-;-;1;2;2;-;-;-;-;1;-;6
"314730 Paraisópolis";-;-;-;-;-;2;3;-;-;1;-;-;-;6
"314740 Paraopeba";-;-;-;-;-;-;-;3;-;4;-;-;-;7
"314760 Passa Quatro";-;-;-;-;1;3;-;-;-;-;-;-;-;4
"314770 Passa Tempo";-;-;-;-;1;-;-;1;-;-;-;-;-;2
"314790 Passos";-;-;-;-;2;3;2;1;2;1;-;-;-;11
"314800 Patos de Minas";-;-;2;-;-;5;1;8;9;2;3;3;-;33
"314810 Patrocínio";-;-;-;-;2;2;6;7;3;4;1;1;-;26
"314830 Paula Cândido";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"314840 Paulistas";-;-;-;-;-;-;1;-;-;1;-;-;-;2
"314850 Pavão";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"314860 Peçanha";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"314870 Pedra Azul";-;-;-;-;1;2;-;-;-;-;1;-;-;4
"314880 Pedra do Anta";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"314890 Pedra do Indaiá";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"314900 Pedra Dourada";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"314910 Pedralva";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"314915 Pedras de Maria da Cruz";-;-;-;-;-;-;-;-;1;-;-;-;-;1
"314920 Pedrinópolis";-;-;-;-;-;1;-;-;-;1;-;-;-;2
"314930 Pedro Leopoldo";1;-;-;-;-;-;1;-;1;-;-;-;-;3
"314940 Pedro Teixeira";-;-;-;-;-;-;-;-;1;-;-;-;-;1
"314960 Pequi";-;-;-;-;-;2;1;-;-;-;-;-;-;3
"314970 Perdigão";-;-;-;-;1;1;-;-;-;-;-;-;-;2
"314980 Perdizes";-;-;-;-;-;1;-;1;-;1;-;-;-;3
"314990 Perdões";-;-;-;-;-;2;-;-;-;-;-;-;-;2
"314995 Periquito";-;-;-;-;-;-;-;-;-;1;-;1;-;2
"315010 Piau";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"315015 Piedade de Caratinga";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"315020 Piedade de Ponte Nova";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"315030 Piedade do Rio Grande";-;-;-;-;-;-;-;-;-;1;-;-;-;1
"315050 Pimenta";-;-;-;-;-;1;2;-;-;1;-;-;-;4
"315057 Pintópolis";-;-;-;-;-;-;-;-;-;-;1;-;-;1
"315060 Piracema";-;-;-;-;-;-;-;-;1;-;1;-;-;2
"315070 Pirajuba";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"315080 Piranga";-;-;-;-;-;1;1;-;-;-;-;-;-;2
"315090 Piranguçu";-;-;-;-;-;-;-;-;-;1;-;-;-;1
"315100 Piranguinho";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"315110 Pirapetinga";-;-;-;-;-;2;-;-;-;1;1;-;-;4
"315120 Pirapora";-;-;-;-;2;-;6;6;1;1;-;-;-;16
"315130 Piraúba";-;-;-;-;-;-;-;-;1;1;-;-;-;2
"315140 Pitangui";-;-;-;-;-;-;-;1;1;-;-;-;-;2
"315150 Piumhi";-;-;-;-;-;2;1;-;4;-;-;-;-;7
"315160 Planura";-;-;-;-;-;-;1;1;-;1;-;-;-;3
"315170 Poço Fundo";-;-;-;-;1;-;1;-;-;1;-;-;-;3
"315180 Poços de Caldas";-;-;3;-;1;4;2;2;2;5;1;1;-;21
"315190 Pocrane";-;-;-;-;-;-;-;-;-;2;-;-;-;2
"315200 Pompéu";-;-;-;1;-;4;2;-;2;-;-;-;-;9
"315210 Ponte Nova";-;-;-;-;-;2;1;2;-;-;-;-;-;5
"315213 Ponto Chique";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"315217 Ponto dos Volantes";-;-;-;-;-;1;-;-;1;-;-;-;-;2
"315220 Porteirinha";-;-;-;-;-;-;-;3;-;1;-;1;-;5
"315240 Poté";-;-;-;-;-;-;-;-;1;-;-;-;-;1
"315250 Pouso Alegre";-;-;-;2;-;4;2;4;2;3;2;1;-;20
"315260 Pouso Alto";-;-;-;-;-;1;2;-;-;-;-;-;-;3
"315270 Prados";-;-;-;-;-;-;-;1;-;1;-;-;-;2
"315280 Prata";-;-;-;-;-;1;-;2;-;1;-;-;1;5
"315300 Pratinha";-;-;-;-;-;1;-;-;1;-;-;-;-;2
"315340 Presidente Olegário";-;-;-;-;-;2;-;1;-;1;1;1;-;6
"315360 Prudente de Morais";-;-;-;-;1;-;-;1;-;-;-;-;-;2
"315370 Quartel Geral";-;-;-;-;-;-;-;-;-;1;1;-;-;2
"315380 Queluzito";-;-;-;-;-;-;-;-;1;-;-;-;-;1
"315400 Raul Soares";-;-;-;-;1;2;-;1;-;1;1;-;-;6
