 Morbidade Hospitalar do SUS - por local de residência - Tocantins
Internações por Município e Ano/mês atendimento
Lista Morb  CID-10: Bronquite aguda e bronquiolite aguda, Bronquite enfisema e outr doenç pulm obstr crônic
Período:2010
"Município";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"Total"
"170290 Axixá do Tocantins";-;-;2;-;1;1;1;-;1;-;-;-;1;1;-;-;8
"170300 Babaçulândia";-;-;-;-;-;1;-;1;-;-;-;-;-;-;1;-;3
"170305 Bandeirantes do Tocantins";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
"170307 Barra do Ouro";-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;2
"170310 Barrolândia";-;1;-;-;-;-;-;-;-;-;1;-;1;-;-;-;3
"170320 Bernardo Sayão";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"170330 Bom Jesus do Tocantins";-;-;-;-;2;-;-;-;-;3;-;-;-;-;-;-;5
"170360 Brasilândia do Tocantins";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"170370 Brejinho de Nazaré";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"170380 Buriti do Tocantins";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"170382 Cachoeirinha";-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;2
"170384 Campos Lindos";-;-;-;-;-;-;-;1;1;-;1;-;-;-;-;-;3
"170386 Cariri do Tocantins";-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;2
"170388 Carmolândia";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
"170389 Carrasco Bonito";-;-;-;-;-;-;1;-;-;1;-;-;1;1;1;-;5
"170390 Caseara";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"170410 Centenário";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1
"170510 Chapada da Natividade";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1
"170460 Chapada de Areia";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"170550 Colinas do Tocantins";-;-;-;1;-;2;3;1;2;2;2;1;-;4;2;1;21
"171670 Colméia";-;-;-;1;-;-;3;2;4;-;-;-;-;-;-;-;10
"170555 Combinado";-;-;-;-;-;-;-;-;1;2;1;2;4;1;2;-;13
"170560 Conceição do Tocantins";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"170600 Couto Magalhães";-;-;-;-;-;1;1;1;-;1;-;-;-;-;-;-;4
"170610 Cristalândia";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"170625 Crixás do Tocantins";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1
"170650 Darcinópolis";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"170700 Dianópolis";-;-;-;-;-;-;1;1;1;-;1;-;-;-;-;-;4
"170710 Divinópolis do Tocantins";-;-;-;-;1;3;4;7;5;7;5;5;-;5;5;2;49
"170720 Dois Irmãos do Tocantins";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
"170730 Dueré";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1
"170740 Esperantina";-;-;-;-;-;-;-;2;-;-;-;2;-;-;-;-;4
"170755 Fátima";-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;2
"170765 Figueirópolis";-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;3
"170770 Filadélfia";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1
"170820 Formoso do Araguaia";-;-;-;1;2;-;1;2;1;3;1;2;3;-;-;1;17
"170825 Fortaleza do Tabocão";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"170830 Goianorte";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
"170900 Goiatins";-;-;-;-;-;-;-;-;1;-;1;-;1;1;-;-;4
"170930 Guaraí";-;-;-;1;1;5;-;1;2;7;2;-;1;1;3;-;24
"170950 Gurupi";-;-;1;-;1;5;10;6;4;6;2;3;2;3;4;5;52
"170980 Ipueiras";-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;3
"171050 Itacajá";-;-;-;-;-;-;-;-;1;-;-;-;2;-;1;-;4
"171070 Itaguatins";-;-;-;-;2;3;3;-;-;-;2;2;-;4;2;-;18
"171090 Itapiratins";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"171110 Itaporã do Tocantins";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"171150 Jaú do Tocantins";-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;2
"171180 Juarina";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"171190 Lagoa da Confusão";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"171195 Lagoa do Tocantins";-;-;-;1;-;-;3;-;-;-;-;-;-;-;-;-;4
"171200 Lajeado";-;-;-;1;-;-;-;-;1;1;-;-;1;-;-;-;4
"171215 Lavandeira";-;-;-;-;-;-;-;-;-;-;2;1;2;-;-;-;5
"171240 Lizarda";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"171245 Luzinópolis";-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;2
"171250 Marianópolis do Tocantins";-;-;-;-;-;-;-;-;-;1;1;2;1;-;-;-;5
"171270 Mateiros";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"171280 Maurilândia do Tocantins";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1
"171320 Miracema do Tocantins";-;-;-;4;7;1;3;2;3;-;3;2;1;-;2;-;28
"171330 Miranorte";-;-;-;1;7;2;3;8;9;6;2;5;3;2;3;4;55
"171360 Monte do Carmo";-;-;-;-;-;-;1;-;3;-;-;-;-;3;-;-;7
"171370 Monte Santo do Tocantins";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
"171395 Muricilândia";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"171420 Natividade";-;-;1;-;-;-;-;1;-;-;1;-;-;-;-;-;3
"171430 Nazaré";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"171488 Nova Olinda";-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;2
"171500 Nova Rosalândia";-;-;-;-;1;1;-;-;-;-;-;1;-;-;-;-;3
"171510 Novo Acordo";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"171515 Novo Alegre";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"171525 Novo Jardim";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"171550 Oliveira de Fátima";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"172100 Palmas";-;-;1;3;3;5;7;7;3;8;6;6;8;9;1;2;69
"171570 Palmeirante";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"171380 Palmeiras do Tocantins";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"171575 Palmeirópolis";-;-;-;-;1;3;2;-;3;-;-;1;2;-;-;-;12
"171610 Paraíso do Tocantins";-;-;-;-;1;1;3;4;1;1;-;1;1;1;-;-;14
"171620 Paranã";-;-;-;-;-;-;1;3;1;-;-;1;2;3;-;1;12
"171630 Pau D'Arco";-;-;-;-;-;1;1;1;-;-;-;-;-;-;-;-;3
"171650 Pedro Afonso";-;-;-;-;-;-;1;-;-;-;1;1;3;-;1;-;7
"171660 Peixe";-;-;-;-;1;-;-;1;-;-;-;1;-;-;-;-;3
"171665 Pequizeiro";-;-;-;1;-;-;-;-;-;1;-;1;-;-;1;-;4
"171700 Pindorama do Tocantins";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"171720 Piraquê";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"171750 Pium";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
"171780 Ponte Alta do Bom Jesus";-;-;-;-;-;-;-;1;-;1;-;-;-;1;-;-;3
"171790 Ponte Alta do Tocantins";-;-;-;-;-;-;1;1;-;1;-;1;-;-;-;-;4
"171800 Porto Alegre do Tocantins";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"171820 Porto Nacional";-;-;3;8;4;9;7;7;5;2;5;1;-;5;-;1;57
"171830 Praia Norte";-;-;2;-;-;-;-;-;1;-;1;1;-;-;-;-;5
"171840 Presidente Kennedy";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"171845 Pugmil";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"171850 Recursolândia";-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;2
"171855 Riachinho";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"171865 Rio da Conceição";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
"171870 Rio dos Bois";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"171875 Rio Sono";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"171880 Sampaio";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"171884 Sandolândia";-;-;-;-;1;1;1;-;-;2;-;-;-;1;-;-;6
"171886 Santa Fé do Araguaia";-;-;-;-;-;1;-;-;-;-;-;2;-;1;-;-;4
"171888 Santa Maria do Tocantins";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"171889 Santa Rita do Tocantins";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
"171890 Santa Rosa do Tocantins";-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;2
"171900 Santa Tereza do Tocantins";-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;2
"172000 Santa Terezinha do Tocantins";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"172010 São Bento do Tocantins";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"172015 São Félix do Tocantins";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"172020 São Miguel do Tocantins";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1
"172025 São Salvador do Tocantins";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"172030 São Sebastião do Tocantins";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"172049 São Valério";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"172065 Silvanópolis";-;-;-;-;-;-;-;1;-;-;-;1;-;1;-;-;3
"172080 Sítio Novo do Tocantins";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1
"172085 Sucupira";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"172090 Taguatinga";-;-;-;-;4;1;2;2;4;15;4;1;4;2;2;2;43
"172093 Taipas do Tocantins";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"172097 Talismã";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
"172110 Tocantínia";-;-;-;1;-;1;-;-;1;-;-;-;-;-;-;-;3
"172120 Tocantinópolis";-;-;-;-;2;1;-;1;4;1;2;-;-;3;-;-;14
"172125 Tupirama";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"172130 Tupiratins";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"172208 Wanderlândia";-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;2
"172210 Xambioá";-;-;-;-;1;1;-;1;1;2;2;-;-;-;-;-;8
"170000 Município ignorado - TO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"Total";1;1;10;37;67;76;114;92;90;95;70;73;61;84;48;31;950
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Situação da base de dados nacional em 29/04/2016.
 Dados de janeiro de 2015 até março de 2016 sujeitos a retificação.
 
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
